Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,2000,05,19.7,Y
IDCJAC0002,015590,2000,06,18.9,Y
IDCJAC0002,015590,2000,07,22.9,Y
IDCJAC0002,015590,2000,08,23.3,Y
IDCJAC0002,015590,2000,09,30.4,Y
IDCJAC0002,015590,2000,10,27.9,Y
IDCJAC0002,015590,2000,11,33.6,Y
IDCJAC0002,015590,2000,12,33.3,Y
IDCJAC0002,015590,2001,01,37.3,Y
IDCJAC0002,015590,2001,02,35.1,Y
IDCJAC0002,015590,2001,03,27.4,Y
IDCJAC0002,015590,2001,04,28.2,Y
IDCJAC0002,015590,2001,05,24.0,Y
IDCJAC0002,015590,2001,06,20.0,Y
IDCJAC0002,015590,2001,07,19.3,Y
IDCJAC0002,015590,2001,08,23.6,Y
IDCJAC0002,015590,2001,09,28.5,Y
IDCJAC0002,015590,2001,10,29.0,Y
IDCJAC0002,015590,2001,11,32.2,Y
IDCJAC0002,015590,2001,12,31.9,Y
IDCJAC0002,015590,2002,01,36.1,Y
IDCJAC0002,015590,2002,02,32.7,Y
IDCJAC0002,015590,2002,03,33.8,Y
IDCJAC0002,015590,2002,04,33.5,Y
IDCJAC0002,015590,2002,05,26.9,Y
IDCJAC0002,015590,2002,06,21.5,Y
IDCJAC0002,015590,2002,07,22.4,Y
IDCJAC0002,015590,2002,08,23.9,Y
IDCJAC0002,015590,2002,09,30.0,Y
IDCJAC0002,015590,2002,10,33.3,Y
IDCJAC0002,015590,2002,11,35.0,Y
IDCJAC0002,015590,2002,12,36.5,Y
IDCJAC0002,015590,2003,01,36.8,Y
IDCJAC0002,015590,2003,02,35.3,Y
IDCJAC0002,015590,2003,03,32.1,Y
IDCJAC0002,015590,2003,04,31.1,Y
IDCJAC0002,015590,2003,05,24.9,Y
IDCJAC0002,015590,2003,06,21.4,Y
IDCJAC0002,015590,2003,07,21.4,Y
IDCJAC0002,015590,2003,08,24.5,Y
IDCJAC0002,015590,2003,09,30.6,Y
IDCJAC0002,015590,2003,10,30.9,Y
IDCJAC0002,015590,2003,11,34.2,Y
IDCJAC0002,015590,2003,12,36.4,Y
IDCJAC0002,015590,2004,01,39.1,Y
IDCJAC0002,015590,2004,02,35.7,Y
IDCJAC0002,015590,2004,03,33.2,Y
IDCJAC0002,015590,2004,04,30.3,Y
IDCJAC0002,015590,2004,05,21.6,Y
IDCJAC0002,015590,2004,06,21.1,Y
IDCJAC0002,015590,2004,07,20.7,Y
IDCJAC0002,015590,2004,08,23.2,Y
IDCJAC0002,015590,2004,09,26.2,Y
IDCJAC0002,015590,2004,10,33.6,Y
IDCJAC0002,015590,2004,11,35.1,Y
IDCJAC0002,015590,2004,12,36.5,Y
IDCJAC0002,015590,2005,01,37.3,Y
IDCJAC0002,015590,2005,02,36.8,Y
IDCJAC0002,015590,2005,03,35.2,Y
IDCJAC0002,015590,2005,04,33.1,Y
IDCJAC0002,015590,2005,05,26.0,Y
IDCJAC0002,015590,2005,06,21.0,Y
IDCJAC0002,015590,2005,07,19.3,Y
IDCJAC0002,015590,2005,08,22.4,Y
IDCJAC0002,015590,2005,09,30.3,Y
IDCJAC0002,015590,2005,10,32.8,Y
IDCJAC0002,015590,2005,11,34.7,Y
IDCJAC0002,015590,2005,12,36.1,Y
IDCJAC0002,015590,2006,01,40.0,Y
IDCJAC0002,015590,2006,02,37.7,Y
IDCJAC0002,015590,2006,03,34.0,Y
IDCJAC0002,015590,2006,04,28.8,Y
IDCJAC0002,015590,2006,05,21.9,Y
IDCJAC0002,015590,2006,06,18.1,Y
IDCJAC0002,015590,2006,07,19.1,Y
IDCJAC0002,015590,2006,08,24.5,Y
IDCJAC0002,015590,2006,09,28.3,Y
IDCJAC0002,015590,2006,10,33.6,Y
IDCJAC0002,015590,2006,11,37.1,Y
IDCJAC0002,015590,2006,12,35.1,Y
IDCJAC0002,015590,2007,01,34.0,Y
IDCJAC0002,015590,2007,02,38.0,Y
IDCJAC0002,015590,2007,03,33.8,Y
IDCJAC0002,015590,2007,04,30.9,Y
IDCJAC0002,015590,2007,05,26.1,Y
IDCJAC0002,015590,2007,06,16.9,Y
IDCJAC0002,015590,2007,07,21.3,Y
IDCJAC0002,015590,2007,08,23.9,Y
IDCJAC0002,015590,2007,09,30.1,Y
IDCJAC0002,015590,2007,10,33.7,Y
IDCJAC0002,015590,2007,11,31.8,Y
IDCJAC0002,015590,2007,12,35.2,Y
IDCJAC0002,015590,2008,01,39.8,Y
IDCJAC0002,015590,2008,02,35.0,Y
IDCJAC0002,015590,2008,03,33.4,Y
IDCJAC0002,015590,2008,04,29.0,Y
IDCJAC0002,015590,2008,05,24.5,Y
IDCJAC0002,015590,2008,06,20.1,Y
IDCJAC0002,015590,2008,07,21.4,Y
IDCJAC0002,015590,2008,08,19.8,Y
IDCJAC0002,015590,2008,09,29.6,Y
IDCJAC0002,015590,2008,10,33.3,Y
IDCJAC0002,015590,2008,11,32.1,Y
IDCJAC0002,015590,2008,12,34.6,Y
IDCJAC0002,015590,2009,01,36.1,Y
IDCJAC0002,015590,2009,02,36.5,Y
IDCJAC0002,015590,2009,03,35.3,Y
IDCJAC0002,015590,2009,04,29.0,Y
IDCJAC0002,015590,2009,05,21.6,Y
IDCJAC0002,015590,2009,06,20.7,Y
IDCJAC0002,015590,2009,07,20.6,Y
IDCJAC0002,015590,2009,08,28.1,Y
IDCJAC0002,015590,2009,09,29.9,Y
IDCJAC0002,015590,2009,10,30.9,Y
IDCJAC0002,015590,2009,11,35.6,Y
IDCJAC0002,015590,2009,12,35.6,Y
IDCJAC0002,015590,2010,01,35.2,Y
IDCJAC0002,015590,2010,02,34.2,Y
IDCJAC0002,015590,2010,03,30.1,Y
IDCJAC0002,015590,2010,04,28.1,Y
IDCJAC0002,015590,2010,05,22.8,Y
IDCJAC0002,015590,2010,06,19.0,Y
IDCJAC0002,015590,2010,07,17.7,Y
IDCJAC0002,015590,2010,08,19.8,Y
IDCJAC0002,015590,2010,09,22.6,Y
IDCJAC0002,015590,2010,10,26.2,Y
IDCJAC0002,015590,2010,11,30.1,Y
IDCJAC0002,015590,2010,12,34.0,Y
IDCJAC0002,015590,2011,01,37.2,Y
IDCJAC0002,015590,2011,02,33.5,Y
IDCJAC0002,015590,2011,03,28.9,Y
IDCJAC0002,015590,2011,04,27.0,Y
IDCJAC0002,015590,2011,05,21.0,Y
IDCJAC0002,015590,2011,06,19.5,Y
IDCJAC0002,015590,2011,07,20.5,Y
IDCJAC0002,015590,2011,08,25.4,Y
IDCJAC0002,015590,2011,09,27.9,Y
IDCJAC0002,015590,2011,10,31.5,Y
IDCJAC0002,015590,2011,11,32.7,Y
IDCJAC0002,015590,2011,12,36.4,Y
IDCJAC0002,015590,2012,01,37.6,Y
IDCJAC0002,015590,2012,02,35.6,Y
IDCJAC0002,015590,2012,03,29.8,Y
IDCJAC0002,015590,2012,04,27.9,Y
IDCJAC0002,015590,2012,05,23.3,Y
IDCJAC0002,015590,2012,06,19.9,Y
IDCJAC0002,015590,2012,07,19.1,Y
IDCJAC0002,015590,2012,08,24.9,Y
